name	version	url	country	source
nope.chat	1.143.0	nope.chat	Germany	Join Matrix
bytea.org	1.143.0	matrix.bytea.org	Unknown	Asra.gr
bruckbu.de	1.143.0	matrix.rot1.bruckbu.de	Unknown	Asra.gr
linuxsec.eu	1.143.0	matrix.linuxsec.eu	Unknown	Asra.gr
sim.rooty.fr	1.143.0	sim.rooty.fr	Unknown	Asra.gr
imagisphe.re	1.143.0	imagisphe.re	France	Join Matrix
unredacted.org	1.143.0	matrix.unredacted.org	United States	Join Matrix
ohnesorge.live	1.143.0	ohnesorge.live	Unknown	Asra.gr
eishausener.de	1.143.0	matrix.eishausener.de	Unknown	Asra.gr
dimitrodam.com	1.143.0	matrix.dimitrodam.com	Unknown	Asra.gr
matrix.espar.eu	1.143.0	matrix.espar.eu	Unknown	Asra.gr
matrix.mxhdr.net	1.143.0	matrix.mxhdr.net	Unknown	Asra.gr
matrix.poweron.dk	1.143.0	matrix.poweron.dk	Unknown	Asra.gr
matrix.luisental.org	1.143.0	matrix.luisental.org	Unknown	Asra.gr
matrix.linuxrocker.com	1.143.0	matrix.linuxrocker.com	Unknown	Asra.gr
matrix.clowdertech.com	1.143.0	matrix.clowdertech.com	Unknown	Asra.gr
holonet.starwars.rocks	1.143.0	holonet.starwars.rocks	Unknown	Asra.gr
matrix.wolfrevo.mywire.org	1.143.0	matrix.wolfrevo.mywire.org	Unknown	Asra.gr
mymatrix79.xavierscave.trade	1.143.0	mymatrix79.xavierscave.trade	Unknown	Asra.gr
kan3.me	1.142.1	matrix.kan3.me	Unknown	Asra.gr
due.ren	1.142.1	matrix.due.ren	Unknown	Asra.gr
urech.ca	1.142.1	matrix.urech.ca	Unknown	Asra.gr
m.edw.ai	1.142.1	m.edw.ai	Unknown	Asra.gr
ladiv.org	1.142.1	matrix.ladiv.org	Unknown	Asra.gr
flc.world	1.142.1	flc.world	Unknown	Asra.gr
aipi.chat	1.142.1	aipi.chat	Unknown	Asra.gr
stdint.com	1.142.1	matrix.stdint.com	Unknown	Asra.gr
saygex.xyz	1.142.1	matrix.saygex.xyz	Unknown	Asra.gr
r3d007.com	1.142.1	matrix.r3d007.com	Unknown	Asra.gr
pramari.de	1.142.1	matrix.pramari.de	Unknown	Asra.gr
blabla2.me	1.142.1	matrix.blabla2.me	Unknown	Asra.gr
vels.online	1.142.1	matrix.vels.online	Unknown	Asra.gr
savemy.name	1.142.1	matrix.savemy.name	Unknown	Asra.gr
mukedues.de	1.142.1	matrix.mukedues.de	Unknown	Asra.gr
im.moec.top	1.142.1	matrix.moec.top	Unknown	Asra.gr
hecosida.de	1.142.1	matrix.hecosida.de	Unknown	Asra.gr
grips-it.de	1.142.1	matrix.grips-edv.de	Unknown	Asra.gr
